City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
阿坝藏族羌族自治州,24,15,23,0.33,6,12,14,13
阿坝州,33,23,28,0.4,12,30,30,14
阿克苏地区,63,20,73,0.5,52,29,31,5
阿拉善盟,50,25,32,0.44,10,97,98,7
阿勒泰地区,25,15,24,0.4,24,41,41,8
阿里地区,52,4,5,0.3,3,102,101,6
安康,43,24,42,0.45,16,43,46,9
安庆,45,25,44,0.48,17,59,61,5
鞍山,37,18,36,1.01,24,19,19,6
安顺,59,41,51,0.45,6,108,109,10
安阳,113,84,121,1.18,40,74,80,17
白城,26,13,23,0.4,16,53,51,7
百色,34,12,33,0.7,14,18,18,13
白山,40,16,39,0.65,12,21,23,8
白银,68,31,83,0.73,47,27,28,43
保定,71,27,68,0.43,21,116,123,10
