City,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h,SO2/h
阿坝藏族羌族自治州,22,15,20,0.33,7,19,36,13
阿坝州,33,23,28,0.4,12,30,30,14
阿克苏地区,59,17,40,0.3,42,62,109,7
阿拉善盟,52,26,36,0.48,10,97,101,7
阿勒泰地区,31,14,30,0.45,32,34,52,8
阿里地区,68,4,5,0.3,3,102,120,6
安康,46,24,45,0.43,15,57,88,8
安庆,41,23,39,0.48,18,64,81,5
鞍山,37,19,36,0.94,24,24,44,7
安顺,70,46,56,0.5,7,109,122,14
安阳,108,80,120,1.18,39,92,113,16
白城,42,17,27,0.45,20,52,83,9
百色,40,12,39,0.73,18,19,47,14
白山,32,15,31,0.65,13,26,43,8
白银,71,26,90,0.67,49,31,67,39
保定,158,29,72,0.3,17,138,222,9
宝鸡,52,29,52,0.54,30,41,74,6
保山,29,14,18,0.4,6,44,56,4
包头,63,44,71,1.36,44,55,60,17
巴彦淖尔,66,21,80,0.55,11,98,106,19
巴音郭楞州,77,35,101,0.35,46,59,105,4
巴中,59,40,65,0.62,33,27,58,4
北海,42,17,38,0.45,8,77,82,6
北京,105,14,46,0.46,14,97,164,3
蚌埠,89,42,76,0.66,29,122,145,13
本溪,42,25,41,1.52,34,15,56,8
毕节,62,27,43,0.53,27,66,113,7
滨州,127,15,39,0.45,16,99,188,14
博州,54,32,56,1.1,41,33,33,8
博尔塔拉蒙古自治州,57,12,62,0.25,22,73,92,7
亳州,131,32,61,0.73,18,159,193,11
沧州,102,24,39,0.3,17,114,161,5
长春,33,8,32,0.45,44,13,38,5
常德,65,46,47,0.71,14,76,86,6
昌都,30,7,10,0.4,3,51,59,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,68,34,83,0.8,42,36,75,7
长沙,53,33,53,0.74,35,42,88,6
常熟,76,26,38,0.7,16,128,130,9
长治,109,27,49,0.88,10,157,168,11
常州,61,24,44,0.77,49,55,111,10
朝阳,41,16,40,0.45,38,23,69,7
潮州,36,11,20,0.55,11,55,70,8
承德,42,16,19,0.53,18,67,83,8
成都,69,49,85,0.91,80,32,94,9
郴州,35,19,34,0.67,27,29,51,7
赤峰,35,5,13,0.18,24,50,69,7
池州,44,28,43,0.65,32,56,64,9
重庆,53,33,53,0.82,45,24,47,9
崇左,42,22,41,0.7,16,56,74,10
楚雄州,27,9,14,0.45,5,47,53,4
滁州,56,30,59,0.56,25,91,106,8
大连,61,15,30,0.55,29,80,111,6
大理州,28,11,0,0.5,8,51,55,5
丹东,38,13,25,0.53,7,72,75,6
儋州,50,23,49,0.65,14,56,72,25
大庆,37,17,25,0.47,43,28,73,6
大同,58,30,63,1.15,31,39,71,20
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,30,21,21,0.35,11,41,55,10
达州,58,32,64,0.9,56,13,71,10
德宏州,38,20,37,0.75,21,13,25,6
德阳,73,44,93,0.76,60,28,56,9
德州,142,32,77,0.67,15,164,205,11
定西,71,36,89,0.7,54,11,46,11
迪庆州,45,18,44,0.7,7,52,50,8
东莞,36,11,26,0.6,25,50,70,7
东营,76,19,36,0.43,22,80,129,14
鄂尔多斯,60,15,49,0.68,36,76,110,8
恩施土家族苗族自治州,42,12,30,0.77,10,48,82,7
恩施州,58,40,63,0.75,16,31,31,6
鄂州,65,43,78,0.75,31,52,83,4
防城港,58,21,63,0.5,19,61,72,7
佛山,42,8,19,0.46,28,50,83,4
抚顺,35,23,34,0.55,32,23,63,9
阜新,48,22,47,1.02,32,24,65,19
阜阳,94,35,62,0.72,46,106,151,3
富阳,41,20,30,0.6,36,31,80,5
福州,37,4,12,0.56,11,66,73,2
抚州,37,19,28,0.63,11,57,73,4
赣江新区,56,26,60,0.7,34,19,74,3
甘南州,63,30,74,0.87,50,18,60,13
赣州,34,21,33,1.41,9,58,63,4
甘孜藏族自治州,40,8,16,0.25,21,52,78,7
甘孜州,26,18,23,0.55,23,33,33,6
广安,49,32,48,0.68,24,42,75,9
广元,46,30,45,0.62,36,30,55,5
广州,46,10,17,0.59,27,55,91,5
贵港,41,21,40,0.6,23,37,51,3
桂林,35,24,31,0.81,11,42,56,12
贵阳,56,36,60,0.66,23,88,99,9
果洛藏族自治州,0,0,0,0.0,0,0,92,0
果洛州,43,30,35,0.5,17,25,25,12
固原,53,22,54,0.54,65,34,82,7
哈尔滨,42,15,41,0.59,58,15,46,11
海北藏族自治州,79,31,77,0.8,30,90,133,22
海北州,35,16,28,0.4,7,68,68,12
