题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
周深《Try everything》《来不及勇敢》《遇见》泪目！【B站夏日毕业歌会2021单品】,//www.bilibili.com/video/BV1ng411g7aL?from=search,133.3万,3.9万,2021-06-20,哔哩哔哩晚会,//space.bilibili.com/489412051?from=search
周深《No fear in my heart》敢不敢 这么义无反顾坠落,//www.bilibili.com/video/BV115411K7vL?from=search,51.2万,9564,2021-06-16,阿里巴巴,//space.bilibili.com/250475408?from=search
【4K60帧】有生之年！周深演绎《unravel》BML现场圆梦【BML2020单品】,//www.bilibili.com/video/BV1za4y1a7JZ?from=search,1443.3万,17.6万,2020-07-25,BML制作指挥部,//space.bilibili.com/403748305?from=search
周深生日直播唱《左手指月》：这首歌我不太会唱哦~,//www.bilibili.com/video/BV14E411X7ro?from=search,641.2万,8.4万,2019-09-30,枫思love摄恋,//space.bilibili.com/2466222?from=search
【歌手】周深《达拉崩吧》分饰多角！化身勇士打败恶龙救公主,//www.bilibili.com/video/BV1YZ4y1j7s5?from=search,2035.9万,45.8万,2020-03-27,腾讯综艺,//space.bilibili.com/8011552?from=search
【周深】20200929「生日直播」全程回放+歌曲单截,//www.bilibili.com/video/BV1ik4y1C7V7?from=search,138.4万,11.2万,2020-09-30,周深资讯站,//space.bilibili.com/194024972?from=search
【周深】《我们的歌》19首纯享版合集完整版,//www.bilibili.com/video/BV1Ai4y1t7SY?from=search,263.2万,2.2万,2020-04-22,Emotional_JJ,//space.bilibili.com/427368140?from=search
【夏日毕业歌会】个人解读细品《Try everything+来不及勇敢+遇见》周深 Reaction｜不惧失败 勇敢前行 不留遗憾 感谢遇见,//www.bilibili.com/video/BV1ZB4y1M7Wx?from=search,2.2万,367,2021-06-22,点点x_x,//space.bilibili.com/9928368?from=search
【周深】《Vincent》《No Fear In My Heart》连唱 感觉耳朵在做按摩,//www.bilibili.com/video/BV1LM4y1u7qp?from=search,62.7万,1.1万,2021-06-16,周深资讯站,//space.bilibili.com/194024972?from=search
【我们的歌】周深李克勤翻唱《神雕侠侣》主题曲《天下有情人》,//www.bilibili.com/video/BV1TJ411j7F6?from=search,358.9万,2.3万,2020-01-06,腾讯综艺,//space.bilibili.com/8011552?from=search
【歌手】【歌手当打之年】周深《Monsters》好动听，跟着乐队玩嗨啦,//www.bilibili.com/video/BV1AE411W7Ur?from=search,287.3万,5.4万,2020-03-08,腾讯综艺,//space.bilibili.com/8011552?from=search
【歌手当打之年】周深再唱《大鱼》，一开口绝美声线征服全场,//www.bilibili.com/video/BV1t741187Wk?from=search,318.5万,2.7万,2020-02-08,腾讯综艺,//space.bilibili.com/8011552?from=search
【创造营2021】GET流量密码→周深撒娇大家都酥了,//www.bilibili.com/video/BV1Lr4y1P73r?from=search,127.3万,6484,2021-03-13,腾讯综艺,//space.bilibili.com/8011552?from=search
《白蛇：缘起》周深开头的那段吟唱真的美到爆,//www.bilibili.com/video/BV1Yt411a7DR?from=search,442.7万,5804,2019-01-19,星空sky111,//space.bilibili.com/382393752?from=search
周深《自己按门铃自己听》真的好惊艳啊~,//www.bilibili.com/video/BV1Vz411z7KX?from=search,182.6万,7388,2020-04-29,开心无价啦,//space.bilibili.com/41157634?from=search
【周深/卡布】20190707《血腥爱情故事》live【四机位精剪】【艺术家】,//www.bilibili.com/video/BV1C4411F7JU?from=search,131.4万,1.2万,2019-07-08,Artist0929_周深个站,//space.bilibili.com/386320103?from=search
【周深】缘分一道桥,//www.bilibili.com/video/BV1M7411k7bH?from=search,253.8万,2.3万,2020-01-25,hikonia,//space.bilibili.com/2254270?from=search
每天一遍，防止抑郁 | 论周深有多适配黑魔仙小月的笑声  | 吃饭喝水不要观看,//www.bilibili.com/video/BV1UV411s7sT?from=search,6.9万,475,2021-06-14,正常执业经里人,//space.bilibili.com/454492977?from=search
【纯享】周深、萨顶顶《自由行走的花》 完整版,//www.bilibili.com/video/BV1se411x7P7?from=search,245.3万,9235,2020-04-04,Amphishen,//space.bilibili.com/491123341?from=search
【张也X周深】《灯火里的中国》,//www.bilibili.com/video/BV1pV411Y7bT?from=search,84.2万,5195,2021-03-12,央视频,//space.bilibili.com/433587902?from=search
【张也X周深】《灯火里的中国》,//www.bilibili.com/video/BV1pV411Y7bT?from=search,84.2万,5195,2021-03-12,央视频,//space.bilibili.com/433587902?from=search
Let it go 【九语男版】,//www.bilibili.com/video/BV13s411Z7kE?from=search,355.2万,3.7万,2014-02-22,卡布叻_周深,//space.bilibili.com/3404595?from=search
