题目(title),网址(url),播放量(play_count),弹幕(danmu),上传时间(upload_date),作者UP主(author),UP主个人界面(author_url)
【朱广权新Rap】央 视 新 闻 来 B 站 了！,//www.bilibili.com/video/BV1JJ411v7A2?from=search,414.9万,2.5万,2019-12-08,央视新闻,//space.bilibili.com/456664753?from=search
“一键三连”！王冰冰喊你来关注央视新闻～,//www.bilibili.com/video/BV1YA411H7LM?from=search,688.5万,1.1万,2021-01-19,央视新闻,//space.bilibili.com/456664753?from=search
央视新闻直播失误搞笑集锦（1-6季）,//www.bilibili.com/video/BV1mD4y1o799?from=search,39.2万,1557,2020-09-27,心中有一首诗,//space.bilibili.com/5213342?from=search
9月1日摩托车就可以上高速是“误读”，央视新闻辟谣,//www.bilibili.com/video/BV1v4411q7ig?from=search,16.3万,162,2019-08-29,不背锅的时臣,//space.bilibili.com/2870941?from=search
第800万辆解放卡车下线，跟随王记者一起回顾民族汽车工业走过的65年！来源：央视新闻app,//www.bilibili.com/video/BV1dB4y1N7tu?from=search,101,1,2021-07-14,迟来的爆料,//space.bilibili.com/516261617?from=search
央视新闻:强烈谴责歧视同性恋群体！,//www.bilibili.com/video/BV1vo4y1C71G?from=search,5.8万,100,2021-06-29,中国姬崽联盟,//space.bilibili.com/478128432?from=search
【央视】新闻联播历年片头（2020.7.25更新）,//www.bilibili.com/video/BV1nW411M7SJ?from=search,44.1万,746,2018-04-06,LL智造,//space.bilibili.com/1903951?from=search
央视新闻频道 新闻30分 OP、广告 2007/7/30,//www.bilibili.com/video/BV1q64y147LU?from=search,119,0,2021-07-14,小四放送,//space.bilibili.com/390205819?from=search
邵逸夫去世 央视新闻报导（14.1.7）,//www.bilibili.com/video/BV1tV411W7Ja?from=search,950,0,2021-07-06,fm948,//space.bilibili.com/1785495551?from=search
【王冰冰】第一次参加央视《新闻直播间》报道／20170419,//www.bilibili.com/video/BV1mD4y1Q7pj?from=search,52.2万,765,2020-11-19,杂草小喵,//space.bilibili.com/55596055?from=search
[央视新闻]央视记者抱95岁老兵狂奔，这段视频看哭了,//www.bilibili.com/video/BV1jt411g7AQ?from=search,200.4万,1.2万,2019-08-04,joan029,//space.bilibili.com/7863128?from=search
【新闻节目】央视新闻30分 2006年2月4日,//www.bilibili.com/video/BV1W64y1C791?from=search,6408,4,2021-05-15,newsfile,//space.bilibili.com/15118020?from=search
她还是那么爱笑！ | 我还是那么爱看新闻 | 央视记者王冰冰,//www.bilibili.com/video/BV1ef4y1X7jq?from=search,36.5万,197,2020-09-16,听说名字变长会变欧,//space.bilibili.com/454915118?from=search
2001.7.13北京申奥当天央视新闻联播片段（北京台转播）,//www.bilibili.com/video/BV1Z54y1n78W?from=search,1784,3,2021-07-13,雪乐火流星,//space.bilibili.com/401830817?from=search
唱支山歌给党听——央视新闻2021年主题快闪MV,//www.bilibili.com/video/BV1CA411K7tw?from=search,4.2万,80,2021-03-02,寻望01,//space.bilibili.com/23823165?from=search
【放送事故】央视《新闻直播间》片尾失误，直接切到广告的第一秒画面,//www.bilibili.com/video/BV14K4y1S7mv?from=search,2.5万,4,2021-02-19,账号注销3332361,//space.bilibili.com/262297067?from=search
【央视】新闻频道CCTV-13《走进乡村看小康》,//www.bilibili.com/video/BV1ow411R7ao?from=search,471,0,2021-07-10,八神逸枫,//space.bilibili.com/10289419?from=search
[央视新闻] 习近平，细微之处凸显“暖男”范儿,//www.bilibili.com/video/BV1Ux411t7yA?from=search,28.2万,406,2017-09-01,哔哩小红旗,//space.bilibili.com/86335477?from=search
【电视包装】央视新闻频道统一包装（制作方版）,//www.bilibili.com/video/BV1to4y1D7kB?from=search,240,0,2021-07-13,元气少女赵芷彤,//space.bilibili.com/509153350?from=search
央视新闻——“也许这就是这个老人能拿到中国绿卡的原因。”,//www.bilibili.com/video/BV1Yv41157jG?from=search,80.0万,7276,2021-05-11,汉字叔叔教识字,//space.bilibili.com/697174669?from=search
